2025-11-03 09:35:00 | inference | INFO | <module>:20 | Device: CPU
2025-11-03 09:35:01 | adaptive_learning | INFO | _load_data:364 | Loaded 0 cached patterns
2025-11-03 09:35:01 | adaptive_learning | INFO | _load_data:370 | Loaded 0 failure logs
2025-11-03 09:35:01 | adaptive_learning | INFO | _load_data:376 | Loaded 0 user corrections
2025-11-03 09:35:01 | adaptive_learning | INFO | _load_data:390 | Loaded statistics
2025-11-03 09:35:01 | adaptive_learning | INFO | __init__:76 | Adaptive Learning System initialized
2025-11-03 09:35:09 | inference | INFO | <module>:20 | Device: CPU
2025-11-03 09:35:09 | adaptive_learning | INFO | _load_data:364 | Loaded 0 cached patterns
2025-11-03 09:35:09 | adaptive_learning | INFO | _load_data:370 | Loaded 0 failure logs
2025-11-03 09:35:09 | adaptive_learning | INFO | _load_data:376 | Loaded 0 user corrections
2025-11-03 09:35:09 | adaptive_learning | INFO | _load_data:390 | Loaded statistics
2025-11-03 09:35:09 | adaptive_learning | INFO | __init__:76 | Adaptive Learning System initialized
2025-11-03 09:35:10 | api | INFO | startup_event:626 | ================================================================================
2025-11-03 09:35:10 | api | INFO | startup_event:627 | Multilingual NLP Analysis API Starting...
2025-11-03 09:35:10 | api | INFO | startup_event:628 | Version: 1.0.0
2025-11-03 09:35:10 | api | INFO | startup_event:629 | Features: Profanity Filter, Domain Detection, Language Analysis,
2025-11-03 09:35:10 | api | INFO | startup_event:630 |           Sentiment Analysis, Toxicity Detection, Translation
2025-11-03 09:35:10 | api | INFO | startup_event:631 | ================================================================================
2025-11-03 09:36:01 | main | INFO | analyze_text_comprehensive:22 | Analyzing text: 'Hello, This is Aniket Shinde !...'
2025-11-03 09:36:02 | profanity_filter | INFO | __init__:203 | Profanity filter initialized for languages: english, hindi, marathi, tamil, telugu, kannada, punjabi, gujarati, bengali, malayalam
2025-11-03 09:36:02 | profanity_filter | INFO | __init__:204 | Total bad words loaded: 3
2025-11-03 09:36:07 | preprocessing | INFO | detect_language:803 | Language detected: eng (confidence=1.00, method=glotlid_high_confidence)
2025-11-03 09:36:07 | adaptive_learning | INFO | store_pattern:169 | New pattern stored: medium_6_latin_919445e2 (conf: 1.00)
2025-11-03 09:36:07 | inference | INFO | get_sentiment_model:92 | Loading XLM-R Sentiment model (first use)...
2025-11-03 09:36:11 | inference | INFO | get_sentiment_model:98 | XLM-R Sentiment model loaded successfully
2025-11-03 09:36:11 | inference | INFO | predict_sentiment:322 | Sentiment prediction: neutral (52.01%) using XLM-RoBERTa
2025-11-03 09:36:11 | inference | INFO | get_toxicity_model:146 | Loading Toxicity model (first use)...
2025-11-03 09:36:13 | inference | INFO | get_toxicity_model:152 | Toxicity model loaded successfully
