2025-11-04 10:48:43 | __main__ | INFO | __init__:36 | ✓ Redis connected: redis://localhost:6379
2025-11-04 10:48:43 | __main__ | INFO | __init__:36 | ✓ Redis connected: redis://localhost:6379
2025-11-04 10:50:08 | inference | INFO | <module>:20 | Device: CPU
2025-11-04 10:50:08 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 157 words for hindi from hindi.json
2025-11-04 10:50:08 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 137 words for marathi from marathi.json
2025-11-04 10:50:08 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 103 words for bengali from bengali.json
2025-11-04 10:50:08 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 203 words for tamil from tamil.json
2025-11-04 10:50:08 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 101 words for telugu from telugu.json
2025-11-04 10:50:08 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 96 words for punjabi from punjabi.json
2025-11-04 10:50:08 | translation | INFO | <module>:97 | 📚 Loaded 6 romanized dictionaries
2025-11-04 10:50:08 | adaptive_learning | INFO | _load_data:364 | Loaded 31 cached patterns
2025-11-04 10:50:08 | adaptive_learning | INFO | _load_data:370 | Loaded 0 failure logs
2025-11-04 10:50:08 | adaptive_learning | INFO | _load_data:376 | Loaded 0 user corrections
2025-11-04 10:50:08 | adaptive_learning | INFO | _load_data:390 | Loaded statistics
2025-11-04 10:50:08 | adaptive_learning | INFO | __init__:76 | Adaptive Learning System initialized
2025-11-04 10:50:09 | redis_cache | INFO | __init__:36 | ✓ Redis connected: redis://localhost:6379
2025-11-04 10:50:09 | __main__ | INFO | <module>:1482 | Starting server on 0.0.0.0:8000
2025-11-04 10:50:09 | __main__ | INFO | <module>:1483 | Workers: 4
2025-11-04 10:50:09 | __main__ | INFO | <module>:1484 | Environment: development
2025-11-04 10:50:19 | inference | INFO | <module>:20 | Device: CPU
2025-11-04 10:50:20 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 157 words for hindi from hindi.json
2025-11-04 10:50:20 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 137 words for marathi from marathi.json
2025-11-04 10:50:20 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 103 words for bengali from bengali.json
2025-11-04 10:50:20 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 203 words for tamil from tamil.json
2025-11-04 10:50:20 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 101 words for telugu from telugu.json
2025-11-04 10:50:20 | translation | INFO | load_romanized_dictionaries:86 | ✅ Loaded 96 words for punjabi from punjabi.json
2025-11-04 10:50:20 | translation | INFO | <module>:97 | 📚 Loaded 6 romanized dictionaries
2025-11-04 10:50:20 | adaptive_learning | INFO | _load_data:364 | Loaded 31 cached patterns
2025-11-04 10:50:20 | adaptive_learning | INFO | _load_data:370 | Loaded 0 failure logs
2025-11-04 10:50:20 | adaptive_learning | INFO | _load_data:376 | Loaded 0 user corrections
2025-11-04 10:50:20 | adaptive_learning | INFO | _load_data:390 | Loaded statistics
2025-11-04 10:50:20 | adaptive_learning | INFO | __init__:76 | Adaptive Learning System initialized
2025-11-04 10:50:20 | redis_cache | INFO | __init__:36 | ✓ Redis connected: redis://localhost:6379
2025-11-04 10:50:20 | api | INFO | startup_event:1427 | ================================================================================
2025-11-04 10:50:20 | api | INFO | startup_event:1428 | Multilingual NLP Analysis API Starting...
